Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12414,99,3,390.0,2,3,2,232,At Risk
12415,11,7,19543.84,4,4,4,444,Champions
12416,292,1,202.56,1,1,1,111,Lost
12417,46,11,3167.81,3,4,4,344,Loyal Customers
12418,49,3,1352.62,3,3,3,333,Loyal Customers
12419,21,2,503.01,3,2,2,322,Recent Customers
12421,51,2,291.56,3,2,1,321,Recent Customers
12422,30,14,4428.24,3,4,4,344,Loyal Customers
12423,23,2,763.08,3,2,3,323,Recent Customers
12424,58,2,1579.07,2,2,3,223,Potential
12425,84,1,964.21,2,1,3,213,Potential
12426,298,1,762.48,1,1,3,113,Lost
12427,7,1,303.5,4,1,1,411,Recent Customers
12429,1,5,3735.51,4,3,4,434,Loyal Customers
12431,9,13,4370.52,4,4,4,444,Champions
12433,2,5,7205.39,4,3,4,434,Loyal Customers
12434,17,1,297.29,4,1,1,411,Recent Customers
12435,32,4,6096.04,3,3,4,334,Loyal Customers
12437,31,21,7731.99,3,4,4,344,Loyal Customers
12439,318,2,1158.18,1,2,3,123,Potential
12440,98,2,859.2,2,2,3,223,Potential
12441,2,1,173.55,4,1,1,411,Recent Customers
12443,368,1,485.31,1,1,2,112,Lost
12445,56,1,301.58000000000004,2,1,1,211,Potential
12449,46,2,768.6,3,2,3,323,Recent Customers
12450,35,3,490.32,3,3,2,332,Loyal Customers
12451,99,3,3634.36,2,3,4,234,At Risk
12454,31,4,13151.44,3,3,4,334,Loyal Customers
12455,81,4,3413.09,2,3,4,234,At Risk
12457,71,1,632.6800000000001,2,1,2,212,Potential
12458,63,2,830.09,2,2,3,223,Potential
12459,241,1,454.36,1,1,2,112,Lost
12460,92,1,326.65,2,1,2,212,Potential
12466,318,1,56.73,1,1,1,111,Lost
12467,59,1,132.8,2,1,1,211,Potential
12468,162,3,2941.2,1,3,4,134,At Risk
12469,158,2,3070.54,1,2,4,124,Potential
12470,325,1,211.95,1,1,1,111,Lost
12471,10,49,20139.74,4,4,4,444,Champions
12472,5,13,11308.48,4,4,4,444,Champions
12474,14,13,5048.66,4,4,4,444,Champions
12475,45,1,426.26,3,1,2,312,Recent Customers
12476,32,12,7298.99,3,4,4,344,Loyal Customers
12477,35,3,7056.63,3,3,4,334,Loyal Customers
12480,35,3,2183.2200000000003,3,3,4,334,Loyal Customers
12481,1,6,6765.07,4,4,4,444,Champions
12482,212,29,23691.4,1,4,4,144,At Risk
12483,14,11,2635.6,4,4,4,444,Champions
12484,119,6,1828.43,2,4,4,244,At Risk
12485,165,1,708.1,1,1,3,113,Lost
12486,67,1,1037.28,2,1,3,213,Potential
12487,366,1,285.3,1,1,1,111,Lost
12490,14,11,4405.71,4,4,4,444,Champions
12492,39,1,452.0,3,1,2,312,Recent Customers
12494,1,3,626.77,4,3,2,432,Loyal Customers
12495,276,1,357.4,1,1,2,112,Lost
12496,256,2,54.09,1,2,1,121,Potential
12497,36,2,5205.400000000001,3,2,4,324,Recent Customers
12499,196,1,393.72,1,1,2,112,Lost
12500,71,8,1697.39,2,4,3,243,At Risk
12503,220,1,1126.0,1,1,3,113,Lost
12504,53,2,297.0,3,2,1,321,Recent Customers
12505,44,1,955.2,3,1,3,313,Recent Customers
12507,220,1,539.25,1,1,2,112,Lost
12510,95,7,4195.45,2,4,4,244,At Risk
12511,64,1,3084.02,2,1,4,214,Potential
12514,277,1,580.08,1,1,2,112,Lost
12516,66,2,1336.56,2,2,3,223,Potential
12519,112,1,385.70000000000005,2,1,2,212,Potential
12523,10,12,2582.38,4,4,4,444,Champions
12524,24,9,6640.39,3,4,4,344,Loyal Customers
12525,134,3,973.73,2,3,3,233,At Risk
12527,130,2,386.8,2,2,2,222,Potential
12529,164,1,316.48,1,1,2,112,Lost
12530,51,5,2096.98,3,3,4,334,Loyal Customers
12531,322,1,1807.98,1,1,4,114,Lost
12533,263,2,1367.89,1,2,3,123,Potential
12537,44,1,732.94,3,1,3,313,Recent Customers
12538,14,1,276.5,4,1,1,411,Recent Customers
12539,86,3,5646.400000000001,2,3,4,234,At Risk
12540,14,16,8854.25,4,4,4,444,Champions
12542,120,2,481.88,2,2,2,222,Potential
12543,84,1,980.25,2,1,3,213,Potential
12547,136,1,175.78,2,1,1,211,Potential
12549,211,6,1575.68,1,4,3,143,At Risk
12553,21,2,916.47,3,2,3,323,Recent Customers
12554,84,1,468.5,2,1,2,212,Potential
12555,318,1,129.23,1,1,1,111,Lost
12557,7,4,6725.18,4,3,4,434,Loyal Customers
12562,21,2,1185.18,3,2,3,323,Recent Customers
12563,44,1,249.24,3,1,1,311,Recent Customers
12567,3,7,4308.58,4,4,4,444,Champions
12568,280,1,70.0,1,1,1,111,Lost
12570,318,1,77.52,1,1,1,111,Lost
12573,17,4,556.87,4,3,2,432,Loyal Customers
12575,93,2,622.82,2,2,2,222,Potential
12576,28,3,826.89,3,3,3,333,Loyal Customers
12577,17,5,995.9499999999999,4,3,3,433,Loyal Customers
12578,21,2,1847.94,3,2,4,324,Recent Customers
12580,212,1,637.2,1,1,2,112,Lost
12582,58,2,1469.04,2,2,3,223,Potential
12583,9,13,7166.06,4,4,4,444,Champions
12586,10,3,1865.73,4,3,4,434,Loyal Customers
12588,35,3,743.88,3,3,3,333,Loyal Customers
12589,57,6,4048.98,2,4,4,244,At Risk
12591,26,2,899.3,3,2,3,323,Recent Customers
12592,155,3,2145.06,1,3,4,134,At Risk
12594,14,5,1751.89,4,3,4,434,Loyal Customers
12595,140,1,299.02,1,1,1,111,Lost
12598,99,3,1511.01,2,3,3,233,At Risk
12599,17,6,1264.14,4,4,3,443,Loyal Customers
12600,7,12,2444.88,4,4,4,444,Champions
12601,40,1,104.2,3,1,1,311,Recent Customers
12605,12,4,1232.95,4,3,3,433,Loyal Customers
12606,318,1,21.0,1,1,1,111,Lost
12608,40,1,415.79,3,1,2,312,Recent Customers
12609,10,6,2309.01,4,4,4,444,Champions
12613,24,5,3490.69,3,3,4,334,Loyal Customers
12615,49,4,3449.79,3,3,4,334,Loyal Customers
12616,24,1,417.8,3,1,2,312,Recent Customers
12619,196,1,140.14,1,1,1,111,Lost
12621,1,16,11086.14,4,4,4,444,Champions
12623,52,6,3442.7400000000002,3,4,4,344,Loyal Customers
12625,145,2,2481.06,1,2,4,124,Potential
12629,21,2,1558.22,3,2,3,323,Recent Customers
12631,92,5,2841.07,2,3,4,234,At Risk
12632,156,2,804.88,1,2,3,123,Potential
12633,18,3,3514.18,4,3,4,434,Loyal Customers
12634,171,2,490.0,1,2,2,122,Potential
12635,28,2,1241.23,3,2,3,323,Recent Customers
12636,374,1,141.0,1,1,1,111,Lost
12637,14,4,2318.41,4,3,4,434,Loyal Customers
12638,275,1,249.8,1,1,1,111,Lost
12639,70,2,826.27,2,2,3,223,Potential
12643,21,6,5005.78,3,4,4,344,Loyal Customers
12644,66,3,1440.58,2,3,3,233,At Risk
12645,45,4,1764.12,3,3,4,334,Loyal Customers
12647,3,27,14201.53,4,4,4,444,Champions
12648,73,3,793.95,2,3,3,233,At Risk
12649,18,5,1671.14,4,3,3,433,Loyal Customers
12651,14,3,263.75,4,3,1,431,Loyal Customers
12652,70,1,97.05000000000001,2,1,1,211,Potential
12653,162,1,1950.98,1,1,4,114,Lost
12655,59,1,261.35,2,1,1,211,Potential
12656,61,3,2356.66,2,3,4,234,At Risk
12661,72,1,162.0,2,1,1,211,Potential
12662,9,10,3138.2400000000002,4,4,4,444,Champions
12663,260,2,239.4,1,2,1,121,Potential
12664,150,2,1188.16,1,2,3,123,Potential
12665,53,2,250.6,3,2,1,321,Recent Customers
12666,30,1,1248.42,3,1,3,313,Recent Customers
12668,14,6,7637.53,4,4,4,444,Champions
12670,21,2,764.24,3,2,3,323,Recent Customers
12671,242,1,2622.481,1,1,4,114,Lost
12672,231,1,211.15,1,1,1,111,Lost
12673,37,1,619.5,3,1,2,312,Recent Customers
12675,189,2,958.5,1,2,3,123,Potential
12676,44,5,1511.7,3,3,3,333,Loyal Customers
12677,191,2,395.1,1,2,2,122,Potential
12678,11,9,16652.72,4,4,4,444,Champions
12681,3,24,17080.74,4,4,4,444,Champions
12682,1,23,11745.69,4,4,4,444,Champions
12683,1,8,4220.21,4,4,4,444,Champions
12686,7,1,89.14,4,1,1,411,Recent Customers
12687,116,2,2138.91,2,2,4,224,Potential
12691,56,1,134.6,2,1,1,211,Potential
12692,273,1,110.95,1,1,1,111,Lost
12693,32,3,847.11,3,3,3,333,Loyal Customers
12694,57,1,973.68,2,1,3,213,Potential
12695,164,3,825.02,1,3,3,133,At Risk
12696,70,2,851.91,2,2,3,223,Potential
12698,226,1,339.75,1,1,2,112,Lost
12699,53,1,638.11,3,1,2,312,Recent Customers
12701,165,4,1648.7,1,3,3,133,At Risk
12703,269,3,722.98,1,3,3,133,At Risk
12705,19,5,4893.81,3,3,4,334,Loyal Customers
12708,4,9,2601.19,4,4,4,444,Champions
12709,2,20,21356.82,4,4,4,444,Champions
12711,247,2,1339.05,1,2,3,123,Potential
12712,1,10,2797.53,4,4,4,444,Champions
12714,24,7,9384.85,3,4,4,344,Loyal Customers
12717,226,1,277.93,1,1,1,111,Lost
12720,5,6,2478.94,4,4,4,444,Champions
12721,21,2,1356.95,3,2,3,323,Recent Customers
12724,19,3,1286.11,3,3,3,333,Loyal Customers
12725,7,4,2266.76,4,3,4,434,Loyal Customers
12726,23,4,1405.5,3,3,3,333,Loyal Customers
12727,78,3,1698.8300000000002,2,3,3,233,At Risk
12728,19,1,233.84,3,1,1,311,Recent Customers
12730,157,1,829.25,1,1,3,113,Lost
12731,78,5,6879.8,2,3,4,234,At Risk
12733,25,3,2040.92,3,3,4,334,Loyal Customers
12734,10,2,529.25,4,2,2,422,Recent Customers
12737,134,2,3710.5,2,2,4,224,Potential
12738,8,1,155.35,4,1,1,411,Recent Customers
12739,21,2,1713.69,3,2,3,323,Recent Customers
12741,165,2,406.07,1,2,2,122,Potential
12742,261,1,1201.52,1,1,3,113,Lost
12744,95,4,4037.77,2,3,4,234,At Risk
12745,122,3,925.41,2,3,3,233,At Risk
12746,176,1,254.55,1,1,1,111,Lost
12747,5,16,5080.53,4,4,4,444,Champions
12748,1,144,22879.66,4,4,4,444,Champions
12749,35,4,2806.48,3,3,4,334,Loyal Customers
12751,80,1,268.27,2,1,1,211,Potential
12755,1,10,5218.71,4,4,4,444,Champions
12758,95,5,7111.650000000001,2,3,4,234,At Risk
12759,22,5,3489.3,3,3,4,334,Loyal Customers
12760,91,1,347.8,2,1,2,212,Potential
12761,93,2,782.95,2,2,3,223,Potential
12763,5,1,320.08,4,1,2,412,Recent Customers
12765,108,6,1404.58,2,4,3,243,At Risk
12766,2,3,3078.65,4,3,4,434,Loyal Customers
12767,11,1,949.82,4,1,3,413,Recent Customers
12768,86,1,168.69,2,1,1,211,Potential
12770,92,1,1895.0,2,1,4,214,Potential
12771,121,1,282.3,2,1,1,211,Potential
12773,200,1,124.25,1,1,1,111,Lost
12774,171,1,98.7,1,1,1,111,Lost
12775,24,2,300.08000000000004,3,2,1,321,Recent Customers
12776,303,1,55.5,1,1,1,111,Lost
12777,93,1,519.45,2,1,2,212,Potential
12778,32,3,953.4499999999999,3,3,3,333,Loyal Customers
12779,7,7,2740.91,4,4,4,444,Champions
12780,234,1,337.4,1,1,2,112,Lost
12782,10,6,2287.32,4,4,4,444,Champions
12784,165,1,1230.33,1,1,3,113,Lost
12785,171,2,788.45,1,2,3,123,Potential
12786,245,1,728.5000000000001,1,1,3,113,Lost
12787,49,1,398.52,3,1,2,312,Recent Customers
12788,99,4,444.90000000000003,2,3,2,232,At Risk
12789,148,2,181.5,1,2,1,121,Potential
12790,46,1,266.93,3,1,1,311,Recent Customers
12791,9,6,863.51,4,4,3,443,Loyal Customers
12792,170,1,426.47,1,1,2,112,Lost
12793,7,2,471.85,4,2,2,422,Recent Customers
12796,264,1,381.0,1,1,2,112,Lost
12797,1,2,552.08,4,2,2,422,Recent Customers
12798,57,1,1533.89,2,1,3,213,Potential
12799,165,1,219.35,1,1,1,111,Lost
12800,106,3,584.25,2,3,2,232,At Risk
12801,136,1,1071.82,2,1,3,213,Potential
12802,78,6,1988.84,2,4,4,244,At Risk
12803,29,1,1092.81,3,1,3,313,Recent Customers
12804,101,2,327.02,2,2,2,222,Potential
12805,17,4,1434.95,4,3,3,433,Loyal Customers
12806,71,4,2878.96,2,3,4,234,At Risk
12807,19,1,330.35,3,1,2,312,Recent Customers
12808,4,3,422.45,4,3,2,432,Loyal Customers
12809,201,2,1266.63,1,2,3,123,Potential
12810,170,2,534.99,1,2,2,122,Potential
12811,14,2,519.0500000000001,4,2,2,422,Recent Customers
12813,137,3,1687.8,1,3,3,133,At Risk
12817,35,2,524.94,3,2,2,322,Recent Customers
12819,94,1,540.52,2,1,2,212,Potential
12820,33,7,1747.18,3,4,4,344,Loyal Customers
12821,247,1,128.08,1,1,1,111,Lost
12823,30,13,4742.0,3,4,4,344,Loyal Customers
12825,157,2,518.63,1,2,2,122,Potential
12826,1,6,1481.03,4,4,3,443,Loyal Customers
12829,186,1,92.3,1,1,1,111,Lost
12831,99,2,236.06,2,2,1,221,Potential
12835,63,41,6043.31,2,4,4,244,At Risk
12836,25,11,3972.76,3,4,4,344,Loyal Customers
12837,205,1,554.31,1,1,2,112,Lost
12838,9,9,2715.35,4,4,4,444,Champions
12839,3,13,4480.31,4,4,4,444,Champions
12840,73,3,1315.2,2,3,3,233,At Risk
12841,5,17,3518.33,4,4,4,444,Champions
12842,40,2,799.0,3,2,3,323,Recent Customers
12843,18,22,4886.15,4,4,4,444,Champions
12844,78,2,322.64,2,2,2,222,Potential
12846,318,1,15.58,1,1,1,111,Lost
12847,23,1,765.36,3,1,3,313,Recent Customers
12848,311,1,208.0,1,1,1,111,Lost
12849,17,4,2039.67,4,3,4,434,Loyal Customers
12850,81,1,330.0,2,1,2,212,Potential
12851,113,1,148.95,2,1,1,211,Potential
12853,63,5,1950.4,2,3,4,234,At Risk
12854,197,4,1669.52,1,3,3,133,At Risk
12855,8,4,612.84,4,3,2,432,Loyal Customers
12857,72,4,2581.6,2,3,4,234,At Risk
12858,19,1,177.92,3,1,1,311,Recent Customers
12859,94,1,575.1,2,1,2,212,Potential
12860,329,1,55.47,1,1,1,111,Lost
12861,255,1,68.25,1,1,1,111,Lost
12862,61,2,1008.32,2,2,3,223,Potential
12863,15,5,2271.35,4,3,4,434,Loyal Customers
12864,144,1,152.45,1,1,1,111,Lost
12865,14,2,1755.24,4,2,4,424,Recent Customers
12866,110,2,668.23,2,2,2,222,Potential
12867,33,6,3876.47,3,4,4,344,Loyal Customers
12868,9,3,640.0,4,3,2,432,Loyal Customers
12869,317,1,337.66999999999996,1,1,2,112,Lost
12870,11,3,1676.95,4,3,3,433,Loyal Customers
12871,75,1,363.38,2,1,2,212,Potential
12872,1,11,3085.52,4,4,4,444,Champions
12873,33,2,1653.3,3,2,3,323,Recent Customers
12874,21,2,948.42,3,2,3,323,Recent Customers
12875,107,3,1013.7600000000001,2,3,3,233,At Risk
12876,30,2,1863.77,3,2,4,324,Recent Customers
12877,37,8,1419.4,3,4,3,343,Loyal Customers
12880,17,2,640.13,4,2,2,422,Recent Customers
12887,19,1,222.4,3,1,1,311,Recent Customers
12889,17,4,385.46000000000004,4,3,2,432,Loyal Customers
12890,23,1,336.8,3,1,2,312,Recent Customers
12891,94,8,509.5,2,4,2,242,At Risk
12892,32,1,263.38,3,1,1,311,Recent Customers
12894,211,1,157.35,1,1,1,111,Lost
12897,17,2,297.75,4,2,1,421,Recent Customers
12898,99,2,310.96,2,2,2,222,Potential
12899,49,1,366.4,3,1,2,312,Recent Customers
12900,58,1,340.33000000000004,2,1,2,212,Potential
12903,64,1,833.5300000000001,2,1,3,213,Potential
12905,212,2,1018.42,1,2,3,123,Potential
12907,31,2,508.91,3,2,2,322,Recent Customers
12908,16,3,1026.0,4,3,3,433,Loyal Customers
12909,60,3,924.52,2,3,3,233,At Risk
12910,15,5,2721.48,4,3,4,434,Loyal Customers
12911,187,1,1680.47,1,1,3,113,Lost
12913,4,9,4217.23,4,4,4,444,Champions
12914,36,1,223.98,3,1,1,311,Recent Customers
12915,8,3,811.1,4,3,3,433,Loyal Customers
12916,78,3,1647.8700000000001,2,3,3,233,At Risk
12917,36,5,3765.2,3,3,4,334,Loyal Customers
12918,262,1,10953.5,1,1,4,114,Lost
12920,207,3,323.86,1,3,2,132,At Risk
12921,2,39,19333.95,4,4,4,444,Champions
12923,26,2,612.9,3,2,2,322,Recent Customers
12924,29,8,1535.7,3,4,3,343,Loyal Customers
12925,228,1,35.28,1,1,1,111,Lost
12926,47,4,1548.46,3,3,3,333,Loyal Customers
12927,30,1,197.31,3,1,1,311,Recent Customers
12928,14,7,2242.19,4,4,4,444,Champions
12931,16,42,50291.38,4,4,4,444,Champions
12932,175,8,1698.56,1,4,3,143,At Risk
12933,16,5,1079.5,4,3,3,433,Loyal Customers
12934,372,1,181.65,1,1,1,111,Lost
12935,11,8,2083.16,4,4,4,444,Champions
12937,99,5,1593.34,2,3,3,233,At Risk
12939,15,12,13683.0,4,4,4,444,Champions
12941,360,1,377.49,1,1,2,112,Lost
12942,1,1,258.75,4,1,1,411,Recent Customers
12943,194,2,496.5,1,2,2,122,Potential
12945,292,1,437.16,1,1,2,112,Lost
12946,72,1,324.45,2,1,2,212,Potential
12947,9,1,304.04,4,1,1,411,Recent Customers
12948,366,2,252.48,1,2,1,121,Potential
12949,18,14,11359.48,4,4,4,444,Champions
12951,22,9,2149.65,3,4,4,344,Loyal Customers
12953,158,1,498.96,1,1,2,112,Lost
12954,274,1,162.45,1,1,1,111,Lost
12956,320,3,413.82,1,3,2,132,At Risk
12957,177,5,4689.43,1,3,4,134,At Risk
12958,36,2,539.49,3,2,2,322,Recent Customers
12959,120,1,150.95,2,1,1,211,Potential
12960,49,4,1322.0700000000002,3,3,3,333,Loyal Customers
12961,15,1,211.99,4,1,1,411,Recent Customers
12963,1,5,1744.96,4,3,4,434,Loyal Customers
12964,73,1,132.24,2,1,1,211,Potential
12967,7,2,2646.02,4,2,4,424,Recent Customers
12969,238,1,122.45,1,1,1,111,Lost
12970,16,6,1072.73,4,4,3,443,Loyal Customers
12971,2,33,4782.88,4,4,4,444,Champions
12972,49,4,1161.2,3,3,3,333,Loyal Customers
12973,49,1,385.55,3,1,2,312,Recent Customers
12974,201,1,264.15,1,1,1,111,Lost
12975,72,6,2100.09,2,4,4,244,At Risk
12976,14,7,2417.78,4,4,4,444,Champions
12977,137,3,478.39,1,3,2,132,At Risk
12978,21,5,2502.82,3,3,4,334,Loyal Customers
12979,365,1,517.7,1,1,2,112,Lost
12980,22,12,8870.880000000001,3,4,4,344,Loyal Customers
12982,30,7,2354.27,3,4,4,344,Loyal Customers
12983,234,1,490.08,1,1,2,112,Lost
12986,64,10,2729.84,2,4,4,244,At Risk
12987,56,3,753.51,2,3,3,233,At Risk
12989,60,18,6627.64,2,4,4,244,At Risk
12990,53,4,546.0,3,3,2,332,Loyal Customers
12991,25,1,261.06,3,1,1,311,Recent Customers
12992,361,1,93.35,1,1,1,111,Lost
12993,81,4,844.87,2,3,3,233,At Risk
12996,11,1,355.5,4,1,2,412,Recent Customers
12997,30,4,884.02,3,3,3,333,Loyal Customers
12998,128,3,920.08,2,3,3,233,At Risk
13000,361,1,497.65,1,1,2,112,Lost
13001,40,20,14353.28,3,4,4,344,Loyal Customers
13002,52,2,293.18,3,2,1,321,Recent Customers
13004,22,18,5994.94,3,4,4,344,Loyal Customers
13005,67,2,485.98,2,2,2,222,Potential
13007,215,1,175.25,1,1,1,111,Lost
13008,33,2,382.66,3,2,2,322,Recent Customers
13009,308,1,234.0,1,1,1,111,Lost
13010,10,2,330.12,4,2,2,422,Recent Customers
13011,8,1,50.550000000000004,4,1,1,411,Recent Customers
13012,65,3,1310.99,2,3,3,233,At Risk
13013,7,18,7814.83,4,4,4,444,Champions
13014,68,1,1914.8,2,1,4,214,Potential
13015,74,6,3240.14,2,4,4,244,At Risk
13018,49,7,2485.46,3,4,4,344,Loyal Customers
13019,15,6,1229.95,4,4,3,443,Loyal Customers
13020,198,2,618.96,1,2,2,122,Potential
13021,10,8,2270.86,4,4,4,444,Champions
13022,65,1,65.3,2,1,1,211,Potential
13023,164,1,759.13,1,1,3,113,Lost
13024,106,2,555.87,2,2,2,222,Potential
13025,367,1,323.39,1,1,2,112,Lost
13026,124,4,757.72,2,3,3,233,At Risk
13027,21,13,10423.2,3,4,4,344,Loyal Customers
13029,10,2,679.8,4,2,2,422,Recent Customers
13030,4,1,427.74,4,1,2,412,Recent Customers
13031,43,5,3419.27,3,3,4,334,Loyal Customers
13032,28,7,1833.3700000000001,3,4,4,344,Loyal Customers
13033,65,1,30.0,2,1,1,211,Potential
13034,5,2,279.91,4,2,1,421,Recent Customers
13035,67,1,442.32,2,1,2,212,Potential
13036,320,1,307.1,1,1,1,111,Lost
13037,35,9,3033.88,3,4,4,344,Loyal Customers
13039,220,4,1010.73,1,3,3,133,At Risk
13041,86,4,799.13,2,3,3,233,At Risk
13042,234,3,1556.54,1,3,3,133,At Risk
13044,128,10,4293.43,2,4,4,244,At Risk
13045,37,2,503.64,3,2,2,322,Recent Customers
13046,92,1,319.94,2,1,2,212,Potential
13047,9,17,5557.62,4,4,4,444,Champions
13048,72,5,2248.3,2,3,4,234,At Risk
13049,25,2,751.5600000000001,3,2,3,323,Recent Customers
13050,2,19,6507.67,4,4,4,444,Champions
13051,214,2,155.8,1,2,1,121,Potential
13052,56,6,2820.38,2,4,4,244,At Risk
13053,257,1,127.65,1,1,1,111,Lost
13055,65,1,1106.7,2,1,3,213,Potential
13056,187,1,209.48,1,1,1,111,Lost
13057,166,3,722.09,1,3,3,133,At Risk
13059,49,9,2119.77,3,4,4,344,Loyal Customers
13063,116,1,188.4,2,1,1,211,Potential
13064,186,2,561.25,1,2,2,122,Potential
13065,9,5,1055.05,4,3,3,433,Loyal Customers
13067,45,2,393.05,3,2,2,322,Recent Customers
13069,5,16,5247.01,4,4,4,444,Champions
13070,95,3,522.9,2,3,2,232,At Risk
13071,248,1,129.22,1,1,1,111,Lost
13073,47,2,418.08,3,2,2,322,Recent Customers
13074,147,4,1378.74,1,3,3,133,At Risk
13076,93,1,135.4,2,1,1,211,Potential
13077,2,8,2335.4,4,4,4,444,Champions
13078,2,32,16904.51,4,4,4,444,Champions
13079,53,1,199.08,3,1,1,311,Recent Customers
13080,37,3,222.65,3,3,1,331,Loyal Customers
13081,7,19,30867.77,4,4,4,444,Champions
13082,60,12,3722.12,2,4,4,244,At Risk
13083,61,1,91.67999999999999,2,1,1,211,Potential
13084,127,1,122.39999999999999,2,1,1,211,Potential
13085,315,6,2017.2,1,4,4,144,At Risk
13086,18,1,439.33000000000004,4,1,2,412,Recent Customers
13087,362,1,313.64,1,1,2,112,Lost
13088,53,1,236.11,3,1,1,311,Recent Customers
13089,4,109,57912.03,4,4,4,444,Champions
13090,1,13,5192.27,4,4,4,444,Champions
13091,365,2,1976.0,1,2,4,124,Potential
13092,50,7,1662.45,3,4,3,343,Loyal Customers
13093,9,48,47111.18,4,4,4,444,Champions
13094,4,2,505.80000000000007,4,2,2,422,Recent Customers
13096,30,1,419.7000000000001,3,1,2,312,Recent Customers
13097,24,18,7378.8,3,4,4,344,Loyal Customers
13101,134,3,594.21,2,3,2,232,At Risk
13102,1,14,5272.83,4,4,4,444,Champions
13103,73,2,465.70000000000005,2,2,2,222,Potential
13104,51,3,610.62,3,3,2,332,Loyal Customers
13105,72,1,72.0,2,1,1,211,Potential
13106,49,1,526.96,3,1,2,312,Recent Customers
13107,49,5,3721.45,3,3,4,334,Loyal Customers
13108,8,2,748.46,4,2,3,423,Recent Customers
13109,187,1,347.49,1,1,2,112,Lost
13110,73,5,1468.8,2,3,3,233,At Risk
13111,354,1,321.88000000000005,1,1,2,112,Lost
13112,177,1,20.599999999999998,1,1,1,111,Lost
13113,2,14,6379.7699999999995,4,4,4,444,Champions
13114,366,1,234.38,1,1,1,111,Lost
13115,15,6,3199.92,4,4,4,444,Champions
13117,1,12,1658.9,4,4,3,443,Loyal Customers
13118,12,4,1217.6,4,3,3,433,Loyal Customers
13119,304,1,134.9,1,1,1,111,Lost
13123,108,2,506.75,2,2,2,222,Potential
13124,21,1,916.12,3,1,3,313,Recent Customers
13125,159,1,158.57,1,1,1,111,Lost
13126,2,7,1898.61,4,4,4,444,Champions
13128,267,1,263.5,1,1,1,111,Lost
13129,88,2,233.25,2,2,1,221,Potential
13131,54,4,2240.4700000000003,2,3,4,234,At Risk
13133,95,1,90.65,2,1,1,211,Potential
13134,38,2,681.65,3,2,2,322,Recent Customers
13135,127,1,275.45,2,1,1,211,Potential
13136,11,8,3666.9500000000003,4,4,4,444,Champions
13137,22,8,4062.29,3,4,4,344,Loyal Customers
13138,8,2,504.85,4,2,2,422,Recent Customers
13139,73,1,3138.04,2,1,4,214,Potential
13140,2,3,791.96,4,3,3,433,Loyal Customers
13141,21,12,5279.83,3,4,4,344,Loyal Customers
13143,220,1,405.1,1,1,2,112,Lost
